parlspeech_id,n_speech,min_date_speech,max_date_speech,mean_terms_speech,pageid,wikidataid
Rudolf Meyer_CDU/CSU,7,1995-05-18,1997-10-30,458.7142857142857,6095358,Q1740224
Rudolf Müller_SPD,5,1991-10-09,1993-10-20,413.4,6081414,Q2173496
Rudolf Purps_SPD,13,1991-06-05,1996-01-18,1339.6153846153845,6090591,Q1519095
Rudolf Scharping_SPD,253,1992-11-04,2002-06-14,1251.3359683794467,4252,Q61321
Rudolf Schöfberger_SPD,12,1992-05-07,1994-01-20,187.91666666666666,2987704,Q1564139
Rudolf Seiters_CDU/CSU,4161,1991-04-25,2002-09-12,106.83922134102379,68496,Q73941
Rudolf Sprung_CDU/CSU,12,1991-03-22,1993-01-15,598.25,1016534,Q2173848
Rupert Scholz_CDU/CSU,125,1991-05-14,2002-06-07,505.624,68490,Q69112
Ruprecht Polenz_CDU/CSU,120,1995-05-18,2013-06-27,656.7583333333333,147920,Q74218
Ruprecht Vondran_CDU/CSU,15,1993-01-15,1994-05-18,444.46666666666664,1275388,Q1400145
Ruth Fuchs_PDS/LINKE,154,1992-06-17,2002-09-12,589.3116883116883,319741,Q57484
Ruth Wagner_FDP,2,2001-11-09,2001-11-09,331,NA,NA
Sabine Bätzing_SPD,32,2002-10-29,2010-03-25,594,NA,NA
Sabine Bätzing-Lichtenthäler_SPD,19,2011-03-25,2014-01-17,527.421052631579,NA,NA
Sabine Bergmann-Pohl_CDU/CSU,595,1991-03-20,2002-06-07,142.44201680672268,33834,Q57232
Sabine Dittmar_SPD,28,2014-01-30,2018-12-13,462.9642857142857,NA,NA
Sabine Jünger_PDS/LINKE,18,1999-01-21,2002-03-21,556.5,964013,Q100357
Sabine Kaspereit_SPD,60,1995-06-01,2002-04-18,579.5166666666667,2944777,Q2209777
Sabine Leidig_PDS/LINKE,211,2009-11-11,2018-11-08,338.521327014218,4757462,Q1649275
Sabine Leutheusser-Schnarrenberger_FDP,455,1991-03-15,2013-05-16,513.9076923076923,67626,Q62173
Sabine Poschmann_SPD,19,2014-01-30,2018-12-13,512.2631578947369,NA,NA
