,politician,source,title,author,description,content,url,urlToImage,publishedAt,date_published,url_image
384,Nicola Beer,N-tv.de,Wahl-Ticker: +++ 21:25 Nicht nur auf Bundesebene wird am Freitag verhandelt +++,n-tv NACHRICHTEN,,"Nicht nur auf Bundesebene wird morgen erneut über mögliche Koalitionen gesprochen. Auch nach den Landtagswahlen in Mecklenburg-Vorpommern und Berlin gibt es erste Gespräche:
<ul><li>Bund: Grüne und … [+35895 chars]",https://www.n-tv.de/politik/21-25-Nicht-nur-auf-Bundesebene-wird-am-Freitag-verhandelt--article22822546.html,,,2021-09-30T13:21:00Z,https://bilder1.n-tv.de/img/incoming/crop22828560/6251325880-cImg_16_9-w1200/104bb4d1ae73eda3c40e1e9b446eb728.jpg
385,Nicola Beer,N-tv.de,Wahl-Ticker: +++ 20:08 Merz und Brinkhaus streiten heftig +++,n-tv NACHRICHTEN,,Die Nerven bei der CDU sind derzeit äußerst angespannt. Das zeigt schon der Streit um die Wahl des Unions-Fraktionschefs. Hinter den Kulissen kam es dabei zu einem schweren Konflikt zwischen Fraktion… [+34682 chars],https://www.n-tv.de/politik/20-08-Merz-und-Brinkhaus-streiten-heftig--article22822546.html,,,2021-09-30T13:21:00Z,https://bilder1.n-tv.de/img/incoming/crop22828560/6251325880-cImg_16_9-w1200/104bb4d1ae73eda3c40e1e9b446eb728.jpg
386,Nicola Beer,N-tv.de,Wahl-Ticker: +++ 19:11 AfD-Fraktion wählt Weidel und Chrupalla zu Vorsitzenden +++,n-tv NACHRICHTEN,,Die neue Bundestagsfraktion der AfD wählt Alice Weidel und Parteichef Tino Chrupalla zu ihren Vorsitzenden. Sie erhalten nach Angaben von Teilnehmern der Fraktionssitzung 50 Ja-Stimmen. 25 Abgeordnet… [+33756 chars],https://www.n-tv.de/politik/19-11-AfD-Fraktion-waehlt-Weidel-und-Chrupalla-zu-Vorsitzenden--article22822546.html,,,2021-09-30T13:21:00Z,https://bilder2.n-tv.de/img/incoming/crop22828561/2791324272-cImg_16_9-w1200/8181d63ad1e2cd9a272abd52d3a10a5d.jpg
387,Nicola Beer,Handelsblatt,Bundestagswahlen: „Zügig sondieren“: Welche Lehren Grüne und FDP aus dem Jahr 2017 ziehen,"Martin Greive, Silke Kersting, Jürgen Klöckner, Teresa Stiens, Klaus Stratmann","Grüne und FDP gehen zuversichtlich in die Gespräche – und hoffen, dass sich die Erfahrungen aus den gescheiterten Jamaika-Sondierungen vor vier Jahren nicht wiederholen.","Auf dem Balkon der Parlamentarischen Gesellschaft in Berlin 2017Die Bilder vom Balkon vermittelten im Oktober 2017 noch einen harmonischen Eindruck, der nach vier Wochen aber ein jähes Ende fand. Von… [+1363 chars]",https://www.handelsblatt.com/politik/deutschland/bundestagswahl-2021/bundestagswahlen-zuegig-sondieren-welche-lehren-gruene-und-fdp-aus-dem-jahr-2017-ziehen/27659678.html,,,2021-09-29T16:27:32Z,https://www.handelsblatt.com/images/auf-dem-balkon-der-parlamentarischen-gesellschaft-in-berlin-2017/27661920/3-format2003.jpg
388,Nicola Beer,t-online.de,Bundestagswahl: Kritik an FDP-Foto – aber Fernsehbilder zeigten nicht alles - t-online.de,"Steven Sowa, t-online","<ol><li>Bundestagswahl: Kritik an FDP-Foto – aber Fernsehbilder zeigten nicht alles  t-online.de
</li><li>Letzter Wahlkampf-Auftritt - Lindner teilt gegen alle aus  BILD
</li><li>Lindners Erfolgsgeheimnis: Er hat verstanden, was Baerbock nie begreifen wollt…",Christian Lindner trat am Wahlabend gegen 19 Uhr vor die Kameras und sprach über das Abschneiden seiner Partei. Die FDP feierte das vorläufige Ergebnis als Erfolg. Doch in den Jubel mischte sich Krit… [+2362 chars],https://www.t-online.de/nachrichten/deutschland/bundestagswahl/id_90868640/bundestagswahl-kritik-an-fdp-foto-aber-fernsehbilder-zeigten-nicht-alles.html,,,2021-09-26T18:55:36Z,https://bilder.t-online.de/b/90/86/86/44/id_90868644/tid_da/christian-lindner-der-fdp-chef-zeigt-sich-am-wahlabend-beim-ersten-auftritt-der-freien-demokraten-ausschliesslich-mit-maennlichen-parteikollegen-.jpg
389,Maik Beermann,Handelsblatt,Laschets Wahldebakel: „Digital Brain Drain” – Wahlergebnis kostet Union wichtige Digitalkompetenz,Dietmar Neuerer,Die Unions-Fraktion im neuen Bundestag wird deutlich kleiner. Vor allem der Verlust an Digitalpolitikern trifft die Partei hart. Die Digitalszene ist geschockt.,Die CDU/CSU-Fraktion ist von bisher 245 auf jetzt 196 Sitze geschrumpft. Im neuen Bundestag sind damit viele Fachpolitiker nicht mehr dabei. Besonders deutlich traf es die Digitalexperten der Union.D… [+4291 chars],https://www.handelsblatt.com/politik/deutschland/laschets-wahldebakel-digital-brain-drain-wahlergebnis-kostet-union-wichtige-digitalkompetenz/27659568.html,,,2021-09-29T09:54:34Z,https://www.handelsblatt.com/images/bundestagswahl/27659602/2-format2003.jpg
390,Maik Beermann,Handelsblatt,Laschets Wahldebakel: „Digital Brain Drain” – Fast alle wichtigen CDU-Digitalpolitiker verlieren ihr Mandat,Dietmar Neuerer,Die Unions-Fraktion im neuen Bundestag wird deutlich kleiner. Vor allem der Verlust an Digitalpolitikern trifft die Partei hart. Die Digitalszene ist geschockt.,Die CDU/CSU-Fraktion ist von bisher 245 auf jetzt 196 Sitze geschrumpft. Im neuen Bundestag sind damit viele Fachpolitiker nicht mehr dabei. Besonders deutlich traf es die Digitalexperten der Union.D… [+4287 chars],https://www.handelsblatt.com/politik/deutschland/laschets-wahldebakel-digital-brain-drain-fast-alle-wichtigen-cdu-digitalpolitiker-verlieren-ihr-mandat/27659568.html,,,2021-09-29T09:54:34Z,https://www.handelsblatt.com/images/bundestagswahl/27659602/2-format2003.jpg
391,Maik Beermann,Handelsblatt,Laschets Wahldebakel: „Digital Brain Drain” – Wahlergebnis kostet Union wichtige Digitalkompetenz,Dietmar Neuerer,Die Unions-Fraktion im neuen Bundestag wird deutlich kleiner. Vor allem der Verlust an Digitalpolitikern trifft die Partei hart. Die Digitalszene ist geschockt.,Die CDU/CSU-Fraktion ist von bisher 245 auf jetzt 196 Sitze geschrumpft. Im neuen Bundestag sind damit viele Fachpolitiker nicht mehr dabei. Besonders deutlich traf es die Digitalexperten der Union.D… [+4206 chars],https://www.handelsblatt.com/politik/deutschland/bundestagswahl-2021/laschets-wahldebakel-digital-brain-drain-wahlergebnis-kostet-union-wichtige-digitalkompetenz/27659568.html,,,2021-09-29T09:54:34Z,https://www.handelsblatt.com/images/nadine-schoen/27660136/2-format2003.jpg
392,Manfred Behrens,STERN.de,Wahlkreis Börde-Jerichower Land: SPD nimmt CDU Direktmandat,STERN.de,"Die SPD hat das Direktmandat im Wahlkreis Börde-Jerichower Land gewonnen. SPD-Kandidatin Franziska Kersten erreichte 26,2 Prozent der Stimmen und landete damit vor CDU-Kandidat Gerry Weber (25,0 Prozent). Die CDU, die bisher alle neun Direktmandate des Landes…","Die SPD hat das Direktmandat im Wahlkreis Börde-Jerichower Land gewonnen. SPD-Kandidatin Franziska Kersten erreichte 26,2 Prozent der Stimmen und landete damit vor CDU-Kandidat Gerry Weber (25,0 Proz… [+990 chars]",https://www.stern.de/gesellschaft/regional/wahlkreis-boerde-jerichower-land--spd-nimmt-cdu-direktmandat-30777392.html,,,2021-09-27T04:15:02Z,https://image.stern.de/30777394/t/HA/v1/w1440/r1.7778/-/27--urnnewsmldpacom2009010121092799375833v3w800h600l801t335r1855b1111jpeg---e69f87ed20653e41.jpg
393,Manfred Behrens,Faz.net,Heute in Rhein-Main: Auf der Schiene schnell zum Flughafen,Manfred Köhler,Die Regionaltangente West kommt voran. Zwischen den einstigen Lieblingsgegnern Grüne und FDP ist eine Annäherung zu beobachten. Die F.A.Z.-Hauptwache blickt auf die Themen des Tages.,"Guten Abend,schlimmer Unfall: Beim Halbmarathon in Eschborn am Sonntag wird einem Autofahrer gesagt, er möchte bitte wenden, weil die Straße vor ihm wegen der Sportveranstaltung gesperrt sei. Macht e… [+2620 chars]",https://www.faz.net/aktuell/rhein-main/newsletter-hauptwache/heute-in-rhein-main-auf-der-schiene-schnell-zum-flughafen-17568061.html,,,2021-10-03T19:05:26Z,https://media0.faz.net/ppmedia/253987137/1.7568076/facebook_teaser/mit-der-bahn-schnell-zum.jpg
394,Manfred Behrens,Faz.net,Heute in Rhein-Main: Majestätsbeleidigung in der hessischen CDU,Manfred Köhler,Auf Pizzakartons soll künftig ein Pfand kommen. Aktivisten besetzen den Riederwald. Volker Bouffier ist unter Zugzwang. Die F.A.Z.-Hauptwache blickt auf die Themen des Tages.,"Guten Abend,die neue Stadtregierung in Frankfurt schlägt mehr und mehr Pflöcke ein. Das ehrenamtliche Engagement von Bürgern im Freiwilligen Polizeidienst wird mit fadenscheinigen Argumenten beendet,… [+4615 chars]",https://www.faz.net/aktuell/rhein-main/newsletter-hauptwache/heute-in-rhein-main-majestaetsbeleidigung-in-der-hessischen-cdu-17563834.html,,,2021-09-30T18:57:03Z,https://media0.faz.net/ppmedia/aktuell/rhein-main/181651584/1.7563852/facebook_teaser/fuehrungsriege-der-hessischen.jpg
395,Veronika Bellmann,taz.de,Die Erfolge der AfD in Sachsen: Das große Muffeln,Michael Bartsch,In Dorfchemnitz haben über 50 Prozent AfD gewählt. Warum fahren so viele Sachsen auf diese Partei ab? Eine Spurensuche in der Provinz.,"Zurück zur Normalität, so warb überall in Sachsen ein Straßenplakat der AfD im Bundestagswahlkampf. Doch im rund 1.500 Einwohner zählenden Dorfchemnitz, wo die Wähler mit 52,3 Prozent der Erststimmen… [+16295 chars]",https://taz.de/Die-Erfolge-der-AfD-in-Sachsen/!5801338/,,,2021-10-04T13:16:00Z,https://taz.de/picture/5141131/948/28548314-1.jpeg
396,Veronika Bellmann,Www.nzz.ch,«Die CDU sollte sich in der Opposition regenerieren»: Hans-Georg Maassen rät Armin Laschet zum Rücktritt,Alexander Kissler (kis),Der ehemalige Präsident des Verfassungsschutzes errang kein Bundestagsmandat. Er will sich weiter in Südthüringen für die CDU engagieren. Sein Wahlkampf sei an Diffamierungskampagnen gescheitert – und an einem im Osten nicht vermittelbaren Kanzlerkandidaten.,"Hans-Georg Maassen erläutert in Zella-Mehlis seine Niederlage als Wahlkreiskandidat der CDU.
Herr Maassen, Sie wollten für die CDU das Mandat im südthüringischen Wahlkreis Suhl-Schmalkalden erringen… [+6059 chars]",https://www.nzz.ch/international/die-cdu-sollte-sich-in-der-opposition-regenerieren-hans-georg-maassen-raet-armin-laschet-zum-ruecktritt-ld.1647906,,,2021-09-29T14:30:00Z,"https://img.nzz.ch/2021/9/29/5c656519-7e6a-4816-8264-d2440ac218aa.jpeg?width=1200&height=675&fit=bound&quality=75&auto=webp&crop=5783,3253,x0,y298&wmark=nzz"
397,Veronika Bellmann,taz.de,Die CDU leidet an Armin Laschet: „Wenn das hier keine Krise ist“,"Benno Stieber, Christoph Schmidt-Lunau, Helke Ellersiek","Das Wahldebakel im Bund erschüttert die CDU bis tief in ihre Landesverbände hinein. Im Westen herrscht Agonie, im Osten wächst die Wut.","Das Wahldebakel im Bund erschüttert die CDU bis tief in ihre Landesverbände hinein. Im Westen herrscht Agonie, im Osten wächst die Wut.
Die Wahlplakate können dann mal ins Altpapier Foto: Omer Messi… [+9567 chars]",https://taz.de/Die-CDU-leidet-an-Armin-Laschet/!5802756/,,,2021-10-02T08:02:00Z,https://taz.de/picture/5139109/948/28521374-1.jpeg
398,Veronika Bellmann,taz.de,Neuer Bundestag wird grüner: Klimabremser abgewählt,Bernhard Pötter,"Im neuen Bundestag verliert die Union viele Anti-Ökos. UmweltschützerInnen legen allgemein zu, scheitern aber auch in vielen Parteien.","Im neuen Bundestag verliert die Union viele Anti-Ökos. UmweltschützerInnen legen allgemein zu, scheitern aber auch in vielen Parteien.
Sieg und Niederlage für's Klima: Kathrin Henneberger und Jacob … [+4917 chars]",https://taz.de/Neuer-Bundestag-wird-gruener/!5800242/,,,2021-09-27T16:33:00Z,https://taz.de/picture/5127575/948/28234160-1.jpeg
