"pageid","session","party","constituency","constituency2","session_start","session_end","service","country","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace"
"7889805",19,"CDU","Nordsachsen","Sachsen",2017-10-24,2021-10-24,1461,"DEU","Q14946186","Marian_Wendt","Marian Wendt","male","white","protestantism lutheran",1985-06-09,NA,"51.56028,13.00556",NA
"4750329",19,"DIE LINKE","Landesliste","Rheinland-Pfalz",2017-10-24,2021-10-24,1461,"DEU","Q1736766","Katrin_Werner","Katrin Werner","female","white",NA,1973-05-25,NA,"52.51667,13.38333",NA
"10057747",19,"FDP","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q40998975","Nicole_Westig","Nicole Westig","female",NA,NA,1967-11-13,NA,"51.43333,7.8",NA
"7944507",19,"SPD","Hildesheim","Niedersachsen",2017-10-24,2021-10-24,1461,"DEU","Q15114148","Bernd_Westphal_(Politiker)","Bernd Westphal","male","white",NA,1960-09-30,NA,"52.15,9.95",NA
"10065789",19,"AfD","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q40477677","Harald_Weyel","Harald Weyel","male",NA,NA,1959-08-30,NA,"50.6825,8.30611",NA
"7885099",19,"CDU","Rastatt","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q15813781","Kai_Whittaker","Kai Whittaker","male","white","protestantism lutheran",1985-04-10,NA,"48.76194,8.24083",NA
"673315",19,"CDU","Tübingen","Baden-Württemberg",2017-10-24,2021-10-24,1461,"DEU","Q566722","Annette_Widmann-Mauz","Annette Widmann-Mauz","female","white","catholicism",1966-06-13,NA,"48.52,9.05556",NA
"10065443",19,"AfD","Landesliste","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q40980201","Wolfgang_Wiehle","Wolfgang Wiehle","male",NA,NA,1964-10-20,NA,"48.13719,11.5755",NA
"7885434",19,"SPD","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q14943007","Dirk_Wiese","Dirk Wiese","male","white","protestantism lutheran",1983-07-11,NA,"51.71667,8.76667",NA
"4157810",19,"CDU","Frankfurt am Main II","Hessen",2017-10-24,2021-10-24,1461,"DEU","Q850085","Bettina_Wiesmann","Bettina Wiesmann","female","white","protestantism lutheran",1966-10-20,NA,"52.51667,13.38333",NA
"10066213",19,"AfD","Landesliste","Rheinland-Pfalz",2017-10-24,2021-10-24,1461,"DEU","Q40897036","Heiko_Wildberg","Heiko Wildberg","male",NA,NA,1952-05-19,NA,"53.51667,8.13333",NA
"10055808",19,"FDP","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q40974956","Katharina_Willkomm","Katharina Willkomm","female",NA,"catholicism",1987-02-19,NA,"51.21667,6.81667",NA
"984805",19,"CDU","Rheingau-Taunus – Limburg","Hessen",2017-10-24,2021-10-24,1461,"DEU","Q101504","Klaus-Peter_Willsch","Klaus-Peter Willsch","male","white","protestantism evangelical",1961-02-28,NA,"50.14014,8.06944",NA
"976030",19,"CDU","Rhein-Sieg-Kreis I","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q1279621","Elisabeth_Winkelmeier-Becker","Elisabeth Winkelmeier-Becker","female","white","catholicism",1962-09-15,NA,"50.81611,7.15556",NA
"10076080",19,"AfD","Landesliste","Saarland",2017-10-24,2021-10-24,1461,"DEU","Q40473868","Christian_Wirth_(Politiker)","Christian Wirth","male",NA,NA,1963-04-27,NA,"49.35,7.16667",NA
"10081697",19,"AfD","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q40983704","Uwe_Witt_(Politiker)","Uwe Witt","male",NA,"catholicism",1959-10-01,NA,"51.43333,7.33333",NA
"762715",19,"CDU","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q109375","Oliver_Wittke","Oliver Wittke","male","white","catholicism",1966-09-24,NA,"51.66667,7.11667",NA
"3143628",19,"SPD","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q1560111","Gülistan_Yüksel","Gülistan Yüksel","female","white",NA,1962-03-27,NA,"37,35.325",NA
"7888427",19,"DIE LINKE","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q15434412","Hubertus_Zdebel","Hubertus Zdebel","male",NA,NA,1954-10-29,NA,"51.835,6.24528",NA
"7885376",19,"CSU","Kulmbach","Bayern",2017-10-24,2021-10-24,1461,"DEU","Q6578572","Emmi_Zeulner","Emmi Zeulner","female","white","catholicism",1987-03-27,NA,"50.13333,11.03333",NA
"2354374",19,"SPD","Landesliste","Brandenburg",2017-10-24,2021-10-24,1461,"DEU","Q1157334","Dagmar_Ziegler","Dagmar Ziegler","female","white",NA,1960-09-28,NA,"51.33333,12.38333",NA
"8400888",19,"CDU","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,1461,"DEU","Q18169686","Paul_Ziemiak","Paul Ziemiak","male","white","catholicism",1985-09-06,NA,"53.42472,14.55528",NA
"7890578",19,"SPD","Landesliste","Brandenburg",2017-10-24,2021-10-24,1461,"DEU","Q14947102","Stefan_Zierke","Stefan Zierke","male","white",NA,1970-12-05,NA,"53.31667,13.86667",NA
"4533226",19,"CDU","Frankfurt am Main I","Hessen",2017-10-24,2021-10-24,1461,"DEU","Q1565606","Matthias_Zimmer","Matthias Zimmer","male","white","catholicism",1961-05-03,NA,"50.81667,8.76667",NA
"7904292",19,"SPD","Landesliste","Hessen",2017-10-24,2021-10-24,1461,"DEU","Q15813170","Jens_Zimmermann_(Politiker)","Jens Zimmermann","male","white","protestantism lutheran",1981-09-09,NA,"49.86833,8.92896",NA
"3515206",19,"DIE LINKE","Landesliste","Niedersachsen",2017-10-24,2021-10-24,1461,"DEU","Q1356102","Pia_Zimmermann","Pia-Beate Zimmermann","female","white",NA,1956-09-17,NA,"52.26917,10.52111",NA
"985079",19,"DIE LINKE","Landesliste","Sachsen",2017-10-24,2021-10-24,1461,"DEU","Q1775158","Sabine_Zimmermann_(Politikerin)","Sabine Zimmermann","female","white",NA,1960-12-30,NA,"53.5,14",NA
"279756",19,"CDU","Landesliste","Nordrhein-Westfalen",2017-10-24,2021-10-24,373,"DEU","Q95841","Ralf_Brauksiepe","Ralf Brauksiepe","male","white","catholicism",1967-03-14,NA,"51.39917,7.18583",NA
"668933",19,"SPD","Braunschweig","Niedersachsen",2017-10-24,2021-10-24,28,"DEU","Q1044255","Carola_Reimann","Carola Reimann","female","white",NA,1967-08-25,NA,"51.68389,6.16194",NA
"984903",19,"SPD","Landesliste","Bayern",2017-10-24,2021-10-24,40,"DEU","Q1382932","Ewald_Schurer","Ewald Schurer","male","white","catholicism",1954-04-15,2017-12-02,"48.08333,11.96667","48.08333,11.96667"
